2.540000
DUNGEON
Crypt of Maal Il
MONSTER 2 4 1 2
MONSTER 3 1 1 2
MONSTER 8 2 1 1
MONSTER 3 1 2 5
MONSTER 2 5 2 8
MONSTER 7 0 2 1
MONSTER 1 3 3 9
MONSTER 7 0 3 9
MONSTER 2 5 3 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crack of Maal Jhor
3 5 10 144 138
0 10
0 0 0 0 0 0 3 3 0 0 0 3 0 3 0 0 0 3 0 0 3 3 0 0 0 3 0 0 3 0 3 0 0 3 0 0 0 3 0 3 0 3 
0 0 0 0 0 3 0 0 0 0 0 3 3 0 3 3 3 0 3 0 3 0 3 3 0 0 0 3 3 0 3 0 0 0 0 0 0 3 0 0 3 0 
0 0 3 3 0 0 0 0 0 3 0 0 3 3 0 0 
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 1 3 0 2
MONSTER 1 3 0 2
MONSTER 1 3 0 2
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 7 0 0 2
MONSTER 1 3 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 3 1 0 3
MONSTER 2 4 0 3
MONSTER 2 4 0 3
MONSTER 3 1 0 3
MONSTER 2 4 0 3
MONSTER 3 1 0 3
MONSTER 2 4 0 3
MONSTER 1 3 0 3
MONSTER 2 4 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 2 4 0 1
MONSTER 2 4 0 1
MONSTER 2 4 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 8 2 1 3
MONSTER 7 0 1 3
MONSTER 2 5 2 5
MONSTER 8 2 2 5
MONSTER 2 5 2 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Daar Del
1 5 10 202 46
1 7
0 0 0 0 0 0 0 0 0 0 10 0 10 0 0 0 0 10 10 10 0 10 0 10 0 0 0 10 10 0 10 10 0 0 0 0 10 0 0 0 0 0 
10 0 10 10 0 10 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 10 10 0 0 0 0 0 0 10 10 10 0 0 0 0 0 0 10 0 
0 0 10 0 0 0 10 0 0 10 10 0 0 0 0 10 
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 7 0 0 3
MONSTER 2 4 0 4
MONSTER 2 4 0 3
MONSTER 2 4 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 1
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 1
MONSTER 2 4 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 2 4 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 2 4 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 2 5 1 4
MONSTER 3 1 1 4
MONSTER 3 1 1 4
MONSTER 1 3 1 4
MONSTER 3 1 1 4
MONSTER 3 1 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 9
MONSTER 3 1 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 0
MONSTER 8 2 1 0
MONSTER 2 4 1 0
MONSTER 2 5 2 5
MONSTER 7 0 3 5
MONSTER 2 4 3 5
MONSTER 1 3 4 1
MONSTER 7 0 4 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Tomb of Maal Goll
0 5 10 90 198
0 6
0 5 0 5 0 5 5 5 5 5 5 0 0 0 5 0 0 0 0 0 5 0 0 0 5 5 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 5 5 0 0 0 5 0 5 0 5 0 5 0 5 0 5 0 0 0 0 0 0 0 0 0 0 5 0 5 0 5 5 0 0 5 5 5 5 0 5 0 
0 0 0 0 5 0 5 0 5 0 0 0 0 0 0 0 
MONSTER 2 5 1 9
MONSTER 3 1 1 0
MONSTER 1 3 1 1
MONSTER 2 5 3 0
MONSTER 2 5 3 6
MONSTER 2 5 3 6
MONSTER 2 5 3 5
MONSTER 7 0 3 5
MONSTER 2 4 3 5
MONSTER 2 4 3 4
MONSTER 3 1 3 4
MONSTER 2 5 4 0
MONSTER 2 5 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Warrens of Tarath Quel
0 5 10 15 179
2 2
0 5 0 0 0 0 0 0 0 5 0 0 5 0 0 0 0 0 5 0 0 0 5 0 0 5 0 0 5 0 5 5 0 0 0 0 0 0 0 0 0 0 
5 0 0 0 0 0 0 5 5 0 5 5 0 0 5 0 5 5 0 5 5 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 5 0 0 0 5 
0 5 0 5 0 0 0 0 5 0 5 0 0 5 0 0 
MONSTER 3 1 0 6
MONSTER 8 2 0 6
MONSTER 2 4 0 6
MONSTER 3 1 0 5
MONSTER 3 1 0 5
MONSTER 3 1 0 5
MONSTER 2 4 0 5
MONSTER 7 0 0 5
MONSTER 7 0 0 5
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 2 4 0 4
MONSTER 2 4 0 4
MONSTER 8 2 0 4
MONSTER 8 2 0 4
MONSTER 1 3 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 8 2 0 1
MONSTER 2 4 1 5
MONSTER 2 4 1 5
MONSTER 3 1 1 5
MONSTER 8 2 1 5
MONSTER 2 5 1 5
MONSTER 2 5 1 5
MONSTER 7 0 1 2
MONSTER 7 0 1 2
MONSTER 2 4 1 2
MONSTER 2 4 1 2
MONSTER 2 4 1 2
MONSTER 3 1 1 2
MONSTER 7 0 1 2
MONSTER 2 4 1 2
MONSTER 3 1 1 2
MONSTER 2 4 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crack of Tarath Pola
1 5 10 178 12
3 4
0 0 0 0 0 10 0 0 0 0 10 10 0 0 0 10 0 0 10 0 10 0 0 0 0 0 0 0 0 10 0 0 0 0 10 0 0 0 10 0 0 0 
0 0 10 0 10 0 10 0 0 0 10 0 0 10 10 0 10 0 0 10 10 0 10 0 0 0 0 0 10 0 0 0 0 0 0 10 0 0 0 0 0 10 
10 10 0 0 10 0 0 0 10 0 0 0 0 10 10 0 
MONSTER 7 0 0 5
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 2 4 0 4
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 2 4 0 1
MONSTER 8 2 0 1
MONSTER 1 3 1 0
MONSTER 3 1 1 0
MONSTER 3 1 1 0
MONSTER 1 3 1 0
MONSTER 7 0 1 0
MONSTER 3 1 1 0
MONSTER 8 2 2 0
MONSTER 1 3 2 3
MONSTER 2 5 2 4
MONSTER 7 0 4 1
MONSTER 2 5 4 1
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Chiang Goll
1 5 10 216 84
0 1
0 0 8 0 0 8 0 0 0 0 0 0 0 0 8 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 8 0 0 0 0 0 
8 0 0 8 0 0 8 8 8 8 8 0 0 0 0 0 0 0 8 0 0 8 0 0 8 8 8 0 0 8 0 0 0 8 0 0 0 8 0 0 0 0 
0 8 8 8 0 8 0 0 0 0 0 8 0 0 0 0 
MONSTER 2 4 2 3
MONSTER 7 0 3 9
MONSTER 2 5 4 0
MONSTER 2 5 4 0
MONSTER 2 5 4 4
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Chiang Beon
1 5 10 124 178
1 10
0 0 0 0 0 0 0 0 0 0 0 0 0 8 8 0 0 0 0 0 0 0 8 8 8 0 0 0 0 8 8 0 0 0 0 0 0 0 8 0 8 8 
0 0 0 0 0 0 0 0 0 0 8 8 0 0 0 0 0 8 0 8 0 0 8 0 0 0 0 8 8 0 0 8 0 0 0 0 0 0 0 0 0 8 
8 0 0 8 0 0 0 0 0 0 8 0 0 0 8 0 
MONSTER 8 2 0 5
MONSTER 3 1 0 5
MONSTER 1 3 0 5
MONSTER 7 0 0 5
MONSTER 2 5 0 9
MONSTER 2 4 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 8 2 0 4
MONSTER 3 1 1 8
MONSTER 3 1 1 8
MONSTER 2 5 1 8
MONSTER 8 2 1 8
MONSTER 2 4 1 8
MONSTER 7 0 1 8
MONSTER 7 0 1 8
MONSTER 7 0 1 9
MONSTER 2 5 1 9
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 1 3 1 1
MONSTER 2 4 1 1
MONSTER 8 2 1 1
MONSTER 8 2 1 1
MONSTER 8 2 4 1
MONSTER 1 3 4 3
MONSTER 1 3 4 3
MONSTER 8 2 4 3
MONSTER 2 5 4 0
MONSTER 2 5 4 0
MONSTER 2 5 4 0
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crypt of Rudon Hoth
3 5 10 138 164
3 8
6 0 0 6 0 0 0 0 0 0 0 0 0 6 0 6 0 6 0 6 0 0 6 0 6 0 0 0 0 6 0 6 6 6 0 0 0 6 6 0 6 0 
0 0 6 0 0 0 6 6 0 0 0 0 0 6 6 0 0 0 6 0 0 6 6 6 0 6 0 0 0 6 0 0 0 0 6 0 0 6 0 0 6 0 
0 0 6 6 0 0 0 0 0 0 0 0 0 6 0 0 
MONSTER 2 5 0 9
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 2 4 0 3
MONSTER 2 4 0 3
MONSTER 8 2 0 3
MONSTER 7 0 0 3
MONSTER 3 1 0 4
MONSTER 7 0 1 9
MONSTER 2 5 1 9
MONSTER 2 4 1 0
MONSTER 8 2 2 0
MONSTER 1 3 2 0
MONSTER 8 2 2 5
MONSTER 2 5 2 5
MONSTER 2 5 2 5
MONSTER 7 0 3 8
MONSTER 2 5 3 8
MONSTER 2 5 4 3
MONSTER 2 5 4 3
MONSTER 2 5 4 3
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crypt of Tien Il
0 5 10 97 208
1 6
8 8 0 0 0 8 0 0 0 0 0 0 0 8 8 0 8 0 0 0 0 8 0 8 0 0 0 0 0 8 0 0 0 0 8 0 8 0 8 0 8 0 
8 0 0 8 0 8 0 0 0 0 8 0 0 8 8 8 0 8 0 0 0 8 0 8 0 0 8 8 8 0 8 0 8 0 8 0 0 0 0 0 8 0 
8 0 0 0 0 0 0 0 8 8 0 0 0 8 8 0 
MONSTER 2 4 0 1
MONSTER 3 1 0 1
MONSTER 2 5 1 7
MONSTER 3 1 1 7
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 2 4 1 1
MONSTER 2 4 1 1
MONSTER 7 0 1 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 1 3 1 9
MONSTER 3 1 1 9
MONSTER 2 4 1 9
MONSTER 2 5 2 3
MONSTER 2 5 3 3
MONSTER 2 5 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Brael Toor
2 5 10 200 110
1 8
0 0 10 0 0 0 10 0 10 10 0 0 0 0 0 10 0 0 0 0 10 0 10 0 0 10 0 10 10 0 0 0 0 0 0 10 0 0 0 10 0 0 
0 0 10 0 0 0 10 0 0 0 10 10 0 10 0 10 0 0 10 10 0 0 0 10 10 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
10 0 10 0 0 10 0 0 0 10 0 0 0 0 0 10 
MONSTER 3 1 0 2
MONSTER 3 1 0 2
MONSTER 7 0 0 2
MONSTER 3 1 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 1 3 0 5
MONSTER 2 4 0 2
MONSTER 8 2 0 4
MONSTER 8 2 0 4
MONSTER 2 4 0 1
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 7 0 0 3
MONSTER 2 5 1 8
MONSTER 1 3 1 0
MONSTER 3 1 1 0
MONSTER 1 3 1 0
MONSTER 3 1 1 0
MONSTER 7 0 1 0
MONSTER 1 3 1 0
MONSTER 7 0 1 0
MONSTER 1 3 1 0
MONSTER 2 4 1 0
MONSTER 2 4 1 0
MONSTER 2 4 1 0
MONSTER 2 4 1 0
MONSTER 2 4 1 0
MONSTER 8 2 1 0
MONSTER 8 2 1 0
MONSTER 8 2 1 4
MONSTER 2 4 1 4
MONSTER 2 4 1 4
MONSTER 1 3 1 4
MONSTER 3 1 1 4
MONSTER 1 3 1 4
MONSTER 3 1 1 4
MONSTER 8 2 2 0
MONSTER 2 5 2 0
MONSTER 3 1 2 1
MONSTER 7 0 2 8
MONSTER 7 0 2 8
MONSTER 3 1 2 8
MONSTER 7 0 2 8
MONSTER 1 3 3 4
MONSTER 1 3 3 4
MONSTER 2 5 3 4
MONSTER 2 5 4 6
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Tomb of Tarath Quel
4 5 10 116 194
1 1
0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 3 0 0 0 3 3 3 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 
0 3 0 0 0 3 0 0 3 0 3 0 0 3 0 3 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 3 3 3 3 3 0 
0 3 0 0 0 0 0 0 0 0 3 0 0 0 3 0 
MONSTER 2 5 0 5
MONSTER 1 3 1 3
MONSTER 3 1 1 6
MONSTER 3 1 1 6
MONSTER 7 0 1 6
MONSTER 2 4 1 1
MONSTER 2 4 1 1
MONSTER 2 4 1 1
MONSTER 2 4 1 6
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 8 2 1 1
MONSTER 8 2 1 1
MONSTER 8 2 1 6
MONSTER 8 2 1 6
MONSTER 3 1 1 1
MONSTER 7 0 1 9
MONSTER 8 2 1 2
MONSTER 8 2 1 2
MONSTER 7 0 1 2
MONSTER 2 5 4 5
MONSTER 2 5 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crypt of Tal Del
1 5 10 222 36
1 3
0 0 0 8 0 8 0 0 0 8 8 0 0 8 0 0 0 0 8 0 0 8 0 8 0 0 8 0 8 8 0 0 0 8 0 8 0 0 0 0 0 8 
0 0 8 0 8 0 8 0 0 0 8 8 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 8 0 8 8 8 8 0 8 0 8 0 8 0 8 0 
0 0 8 0 0 8 0 0 0 0 8 8 0 0 8 0 
MONSTER 3 1 0 4
MONSTER 2 4 0 4
MONSTER 2 5 0 8
MONSTER 8 2 0 3
MONSTER 8 2 0 3
MONSTER 8 2 0 4
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 1
MONSTER 7 0 0 1
MONSTER 3 1 0 1
MONSTER 2 4 0 1
MONSTER 8 2 0 1
MONSTER 8 2 0 1
MONSTER 1 3 1 4
MONSTER 2 5 1 4
MONSTER 2 5 1 7
MONSTER 8 2 1 1
MONSTER 8 2 1 4
MONSTER 3 1 1 3
MONSTER 3 1 1 3
MONSTER 8 2 1 3
MONSTER 2 4 1 3
MONSTER 2 5 3 9
MONSTER 1 3 4 2
MONSTER 2 5 4 5
MONSTER 2 5 4 3
MONSTER 7 0 4 9
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Tomb of Brael Jhor
2 5 10 221 94
1 2
0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 
0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 1 0 0 0 1 1 0 0 1 1 1 0 0 0 0 1 
1 0 1 0 0 0 0 0 0 1 1 0 0 1 1 0 
MONSTER 3 1 0 4
MONSTER 2 5 1 8
MONSTER 2 0 1 0
MONSTER 3 1 1 2
MONSTER 3 1 1 1
MONSTER 2 4 1 1
MONSTER 2 4 1 1
MONSTER 7 0 2 2
MONSTER 2 5 2 8
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crack of Chiang Jhor
4 5 10 136 184
0 4
0 0 0 8 8 8 0 0 0 0 8 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 8 0 8 8 0 8 0 0 0 0 8 0 0 0 8 0 
0 8 0 8 8 8 0 0 0 8 0 0 0 0 8 0 0 0 0 0 8 8 0 8 0 8 0 0 8 8 8 0 0 8 8 0 0 0 0 0 0 0 
8 8 0 8 8 0 0 8 0 0 0 0 0 0 0 8 
MONSTER 2 4 0 1
MONSTER 8 2 0 2
MONSTER 2 5 0 9
MONSTER 1 3 1 0
MONSTER 2 5 2 7
MONSTER 7 0 2 3
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Tomb of Tien Hoth
4 5 10 202 120
3 10
0 0 0 0 0 0 0 0 0 0 0 3 0 3 0 0 0 3 3 0 0 3 0 0 0 0 0 0 3 0 3 3 3 0 0 0 3 0 0 3 0 0 
0 0 0 0 3 0 0 0 3 3 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 3 0 3 0 3 0 0 3 0 0 0 3 0 0 0 3 0 
3 3 0 0 0 0 0 0 0 0 3 3 0 0 0 3 
MONSTER 1 3 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 7 0 0 1
MONSTER 2 5 0 6
MONSTER 8 2 0 5
MONSTER 3 1 0 1
MONSTER 1 3 0 1
MONSTER 3 1 0 1
MONSTER 2 5 0 7
MONSTER 2 5 0 9
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 4
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 1 3 1 1
MONSTER 3 1 1 1
MONSTER 3 1 1 1
MONSTER 8 2 1 1
MONSTER 7 0 1 4
MONSTER 2 4 1 3
MONSTER 7 0 2 8
MONSTER 3 1 4 8
MONSTER 1 3 4 8
MONSTER 2 4 4 7
MONSTER 2 5 4 3
MONSTER 7 0 4 3
MONSTER 2 5 4 4
MONSTER 2 5 4 6
MONSTER 2 4 4 6
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Daar Quel
0 5 10 214 18
0 6
0 0 0 9 0 0 0 0 0 0 0 9 0 0 0 0 0 9 0 9 0 0 9 0 0 9 9 0 0 0 0 9 0 0 9 9 0 0 9 0 0 0 
0 9 0 0 0 0 0 0 0 9 9 0 0 0 0 0 0 0 0 0 9 0 0 9 0 0 0 9 0 0 0 0 0 0 0 0 9 0 0 9 9 9 
9 0 9 0 0 9 9 0 0 0 0 0 0 9 9 0 
MONSTER 3 1 0 8
MONSTER 2 5 0 8
MONSTER 7 0 0 3
MONSTER 3 1 0 4
MONSTER 8 2 0 3
MONSTER 2 5 1 8
MONSTER 3 1 2 0
MONSTER 7 0 2 0
MONSTER 7 0 2 0
MONSTER 2 5 3 9
MONSTER 7 0 3 9
MONSTER 7 0 4 5
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Rudon Wid
1 5 10 240 86
3 8
0 0 0 0 0 0 8 0 0 0 0 0 0 8 8 0 8 0 8 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 
8 0 0 0 8 8 8 8 0 0 0 8 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 8 8 0 0 8 8 0 0 0 8 0 
8 8 0 0 0 8 8 0 0 0 8 8 0 0 0 0 
MONSTER 8 2 0 4
MONSTER 7 0 0 3
MONSTER 3 1 0 3
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 1 3 0 3
MONSTER 2 4 0 3
MONSTER 1 3 0 3
MONSTER 7 0 0 3
MONSTER 2 5 1 7
MONSTER 2 5 1 7
MONSTER 7 0 1 2
MONSTER 2 4 1 1
MONSTER 8 2 1 1
MONSTER 1 3 1 1
MONSTER 1 3 1 0
MONSTER 3 1 1 4
MONSTER 1 3 1 4
MONSTER 7 0 2 9
MONSTER 2 5 2 9
MONSTER 2 5 2 9
MONSTER 3 1 2 9
MONSTER 1 3 2 9
MONSTER 3 1 3 4
MONSTER 2 5 3 6
MONSTER 2 5 4 4
MONSTER 2 5 4 7
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Dungeon of Tal Shan
0 5 10 242 42
3 6
0 5 5 5 5 0 0 5 0 5 0 0 0 0 5 0 0 0 5 0 5 0 5 0 0 5 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 
0 5 5 5 0 0 5 0 0 0 0 0 5 5 0 0 5 0 0 0 5 0 5 0 5 0 0 0 0 0 0 0 5 0 5 5 0 5 0 0 5 0 
0 0 0 0 5 0 0 0 0 0 0 0 5 0 0 0 
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Pit of Tien Jhor
0 5 10 120 212
3 4
0 0 0 0 0 8 8 0 0 8 0 0 0 8 8 0 0 0 8 0 0 8 0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 8 8 0 8 8 
0 0 0 0 0 0 8 0 0 0 0 0 0 0 8 0 0 8 8 0 8 0 0 8 0 8 8 0 0 0 8 8 0 8 0 0 8 8 0 0 8 0 
0 0 0 8 0 0 8 0 0 8 8 0 0 0 8 0 
MONSTER 7 0 0 2
MONSTER 2 4 0 3
MONSTER 1 3 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 3
MONSTER 3 1 0 4
MONSTER 2 5 1 9
MONSTER 7 0 1 2
MONSTER 7 0 1 1
MONSTER 7 0 1 1
MONSTER 1 3 2 5
MONSTER 2 5 2 5
MONSTER 2 5 4 6
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Tomb of Daar Goll
4 5 10 180 156
2 2
0 0 3 0 0 3 3 3 0 0 3 0 3 0 0 0 0 0 0 3 3 0 0 0 3 0 3 0 3 0 3 3 0 0 3 0 3 0 3 0 0 0 
0 0 0 3 0 0 0 0 3 0 3 0 0 3 3 0 0 0 0 0 0 3 3 3 0 3 0 0 0 3 0 3 3 0 0 0 0 3 0 0 3 0 
0 0 3 3 0 3 3 3 0 0 0 3 0 0 0 3 
MONSTER 3 1 0 9
MONSTER 8 2 0 1
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 4
MONSTER 7 0 0 4
MONSTER 2 4 0 4
MONSTER 8 2 1 0
MONSTER 8 2 1 0
MONSTER 3 1 1 0
MONSTER 2 4 1 5
MONSTER 2 5 2 0
MONSTER 2 4 2 0
MONSTER 2 5 3 5
MONSTER 2 5 4 0
MONSTER 2 5 4 8
MONSTER 3 1 4 3
MONSTER 2 4 4 3
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Crack of Brael Hoth
4 5 10 220 10
0 7
5 0 0 0 5 5 0 5 0 5 0 0 0 0 0 0 0 5 0 0 0 0 0 0 5 0 5 0 5 0 0 0 5 0 0 5 5 0 0 0 0 0 
5 0 5 5 0 0 5 5 5 5 0 5 0 0 0 0 0 0 5 5 0 0 0 0 5 0 5 5 0 0 0 0 5 0 0 0 0 0 5 0 5 5 
0 5 0 0 0 5 0 0 0 0 0 0 0 5 5 0 
MONSTER 2 5 0 9
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 2
MONSTER 3 1 0 2
MONSTER 1 3 0 2
MONSTER 7 0 0 2
MONSTER 2 5 1 6
MONSTER 2 5 1 6
MONSTER 2 5 1 9
MONSTER 2 4 1 4
MONSTER 3 1 1 4
MONSTER 1 3 1 4
MONSTER 3 1 1 4
MONSTER 1 3 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 7 0 1 4
MONSTER 2 5 1 6
MONSTER 2 4 1 3
MONSTER 3 1 1 3
MONSTER 1 3 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 7 0 1 3
MONSTER 1 3 2 5
MONSTER 2 5 2 2
MONSTER 2 5 2 9
MONSTER 7 0 2 8
MONSTER 3 1 2 5
MONSTER 1 3 2 5
MONSTER 1 3 2 5
MONSTER 7 0 2 5
MONSTER 3 1 2 5
MONSTER 7 0 2 5
MONSTER 7 0 2 5
MONSTER 2 5 4 4
END
NOMASTER
NOMASTER
2003 10 12 0 6 1
DUNGEON
Labrinth of Maal Goll
2 5 10 206 132
1 2
7 0 0 0 0 0 0 7 7 0 0 0 7 0 0 7 0 7 0 0 0 0 7 7 0 0 0 0 0 0 0 7 0 0 0 7 0 7 7 0 7 0 
0 0 0 0 0 0 7 0 0 0 0 0 0 0 7 0 0 0 0 0 7 7 0 7 0 0 7 0 0 0 7 7 0 7 7 0 0 0 0 0 0 0 
0 7 7 0 0 0 0 0 0 0 0 0 7 7 0 0 
MONSTER 3 1 0 1
MONSTER 2 4 0 2
MONSTER 7 0 0 2
MONSTER 7 0 0 2
MONSTER 3 1 0 4
MONSTER 2 4 0 4
MONSTER 1 3 0 4
MONSTER 2 4 0 4
MONSTER 7 0 0 4
MONSTER 7 0 0 4
MONSTER 3 1 0 4
MONSTER 1 3 0 3
MONSTER 1 3 0 3
MONSTER 2 5 1 8
MONSTER 2 5 1 5
MONSTER 1 3 1 5
MONSTER 2 4 1 4
MONSTER 3 1 1 3
MONSTER 1 3 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 0
MONSTER 7 0 1 1
MONSTER 2 5 2 7
MONSTER 2 5 2 7
MONSTER 2 5 2 7
MONSTER 1 3 2 8
MONSTER 1 3 2 8
MONSTER 2 5 2 8
MONSTER 2 4 2 8
MONSTER 7 0 2 8
MONSTER 7 0 2 5
MONSTER 8 2 3 0
MONSTER 2 5 4 0
MONSTER 2 4 4 0
END
NOMASTER
